project_type,state,district,current_stage,parcel_count,objection_count,document_turnaround_days,officer_open_load,days_in_compensation,delay_days_remaining,compensation_days
rail,Karnataka,Ahmedabad,compensation,1,2,15,7,67,153.0,96.0
rail,Maharashtra,Nagpur,verification,6,4,3,22,9,282.0,87.0
urban_transit,Madhya Pradesh,Indore,objection,2,1,13,6,74,193.0,81.0
highway,Maharashtra,Nashik,compensation,3,1,30,47,95,157.0,114.0
urban_transit,Madhya Pradesh,Satara,verification,1,2,23,49,117,294.0,134.0
urban_transit,Gujarat,Satara,objection,6,2,35,39,72,281.0,130.0
highway,Madhya Pradesh,Ahmedabad,objection,5,2,10,36,11,221.0,77.0
irrigation,Madhya Pradesh,Pune,award,2,1,37,40,96,233.0,132.0
highway,Karnataka,Ahmedabad,award,3,0,21,36,113,186.0,112.0
irrigation,Gujarat,Pune,compensation,1,2,34,34,4,178.0,92.0
highway,Karnataka,Pune,award,3,1,23,18,112,193.0,114.0
urban_transit,Gujarat,Ahmedabad,award,1,0,10,17,103,128.0,78.0
highway,Madhya Pradesh,Ahmedabad,award,1,1,13,46,111,192.0,115.0
rail,Maharashtra,Indore,notification,2,3,14,7,7,301.0,76.0
urban_transit,Maharashtra,Nagpur,award,3,2,39,25,22,227.0,103.0
irrigation,Madhya Pradesh,Indore,compensation,4,3,10,44,116,185.0,133.0
urban_transit,Karnataka,Indore,notification,2,2,10,46,55,309.0,100.0
irrigation,Madhya Pradesh,Satara,verification,1,2,18,4,115,274.0,117.0
highway,Karnataka,Indore,notification,4,1,2,9,53,239.0,59.0
rail,Karnataka,Ahmedabad,objection,2,1,29,38,89,239.0,114.0
highway,Maharashtra,Nagpur,possession,1,1,11,5,96,61.0,79.0
highway,Gujarat,Ahmedabad,notification,2,1,38,46,66,328.0,115.0
urban_transit,Gujarat,Ahmedabad,notification,2,2,22,45,118,347.0,140.0
highway,Karnataka,Indore,award,3,1,26,22,32,176.0,80.0
highway,Gujarat,Pune,notification,1,1,28,24,47,311.0,97.0
rail,Karnataka,Nashik,notification,5,1,29,17,42,286.0,82.0
rail,Madhya Pradesh,Indore,objection,3,0,17,50,79,213.0,97.0
rail,Karnataka,Ahmedabad,notification,6,1,26,26,90,305.0,109.0
rail,Maharashtra,Pune,possession,4,2,37,34,17,174.0,112.0
highway,Madhya Pradesh,Nashik,notification,6,1,35,31,54,330.0,109.0
highway,Madhya Pradesh,Indore,compensation,2,1,31,14,104,158.0,113.0
irrigation,Gujarat,Ahmedabad,objection,1,1,44,12,36,237.0,94.0
rail,Maharashtra,Pune,objection,6,1,6,50,15,208.0,72.0
highway,Karnataka,Indore,objection,6,1,14,18,9,207.0,66.0
urban_transit,Karnataka,Indore,verification,1,3,34,6,76,294.0,117.0
rail,Maharashtra,Nashik,compensation,5,1,26,18,39,166.0,94.0
highway,Madhya Pradesh,Nagpur,compensation,5,2,25,35,98,171.0,120.0
highway,Gujarat,Ahmedabad,verification,3,1,41,51,73,329.0,136.0
urban_transit,Gujarat,Indore,compensation,1,1,11,44,6,155.0,78.0
rail,Karnataka,Indore,award,3,1,22,39,101,195.0,114.0
highway,Madhya Pradesh,Satara,compensation,3,3,5,6,37,143.0,81.0
irrigation,Karnataka,Satara,possession,6,2,45,46,28,158.0,111.0
irrigation,Karnataka,Nagpur,possession,3,2,23,14,50,132.0,99.0
irrigation,Madhya Pradesh,Ahmedabad,verification,2,1,25,34,102,291.0,124.0
urban_transit,Maharashtra,Pune,notification,6,2,30,49,32,316.0,98.0
irrigation,Gujarat,Nashik,notification,2,2,43,47,13,350.0,109.0
highway,Gujarat,Nagpur,objection,4,2,18,14,101,231.0,111.0
irrigation,Gujarat,Satara,notification,6,0,15,28,100,262.0,90.0
irrigation,Karnataka,Indore,notification,4,3,27,48,78,368.0,139.0
rail,Gujarat,Pune,notification,3,1,26,43,29,326.0,99.0
highway,Gujarat,Nashik,possession,4,1,2,8,25,61.0,53.0
irrigation,Madhya Pradesh,Satara,compensation,5,4,21,26,104,201.0,137.0
rail,Karnataka,Ahmedabad,objection,5,1,42,50,4,249.0,93.0
highway,Madhya Pradesh,Nashik,notification,2,4,17,18,75,321.0,112.0
rail,Madhya Pradesh,Ahmedabad,objection,3,1,18,50,24,232.0,88.0
highway,Maharashtra,Ahmedabad,objection,3,1,6,13,118,188.0,94.0
highway,Gujarat,Indore,verification,2,2,11,42,73,288.0,113.0
urban_transit,Karnataka,Nagpur,compensation,2,0,25,4,103,131.0,97.0
rail,Karnataka,Indore,notification,5,4,11,29,81,333.0,120.0
rail,Madhya Pradesh,Pune,compensation,2,1,21,8,69,156.0,98.0
urban_transit,Gujarat,Satara,notification,3,2,16,14,16,296.0,77.0
irrigation,Karnataka,Satara,objection,1,0,20,10,63,236.0,97.0
rail,Maharashtra,Indore,compensation,2,2,17,7,55,145.0,88.0
irrigation,Karnataka,Indore,objection,3,0,9,34,96,204.0,96.0
urban_transit,Gujarat,Nagpur,possession,2,1,42,10,30,136.0,95.0
rail,Maharashtra,Nashik,compensation,6,2,24,24,97,180.0,122.0
highway,Gujarat,Pune,objection,5,1,22,10,6,196.0,61.0
irrigation,Gujarat,Indore,objection,1,2,11,41,107,230.0,115.0
highway,Madhya Pradesh,Satara,notification,5,0,38,46,108,325.0,127.0
rail,Madhya Pradesh,Ahmedabad,compensation,4,2,18,43,90,188.0,125.0
urban_transit,Madhya Pradesh,Satara,objection,2,0,30,6,84,198.0,88.0
rail,Madhya Pradesh,Nashik,notification,5,2,6,20,58,324.0,103.0
rail,Gujarat,Indore,award,5,3,12,34,49,199.0,98.0
rail,Karnataka,Indore,objection,5,3,20,10,36,232.0,90.0
highway,Gujarat,Indore,notification,5,1,3,51,37,273.0,75.0
irrigation,Karnataka,Nagpur,verification,3,0,37,30,18,270.0,85.0
irrigation,Gujarat,Nashik,objection,6,3,11,49,69,273.0,124.0
irrigation,Gujarat,Indore,compensation,2,0,8,50,28,111.0,65.0
rail,Gujarat,Satara,possession,3,6,20,48,118,207.0,167.0
rail,Karnataka,Pune,verification,4,1,24,27,72,252.0,95.0
urban_transit,Maharashtra,Nashik,award,4,0,45,41,109,221.0,131.0
highway,Maharashtra,Pune,notification,6,2,39,18,7,340.0,98.0
urban_transit,Madhya Pradesh,Ahmedabad,verification,6,1,44,13,41,251.0,85.0
irrigation,Gujarat,Ahmedabad,possession,5,1,40,16,118,110.0,115.0
highway,Madhya Pradesh,Nashik,objection,2,1,17,16,37,208.0,77.0
highway,Maharashtra,Nashik,notification,5,2,34,32,101,311.0,119.0
rail,Gujarat,Satara,award,1,1,6,51,34,177.0,81.0
rail,Madhya Pradesh,Nashik,possession,1,1,22,17,90,115.0,104.0
rail,Karnataka,Ahmedabad,compensation,4,0,3,24,45,125.0,73.0
irrigation,Madhya Pradesh,Nashik,objection,4,1,3,39,23,222.0,79.0
urban_transit,Madhya Pradesh,Nagpur,possession,3,1,10,22,85,105.0,97.0
irrigation,Gujarat,Ahmedabad,objection,5,1,40,15,46,262.0,108.0
rail,Madhya Pradesh,Nashik,award,1,2,26,42,88,222.0,124.0
irrigation,Gujarat,Indore,objection,6,2,28,29,11,270.0,101.0
irrigation,Gujarat,Pune,compensation,3,0,35,38,58,141.0,92.0
highway,Gujarat,Satara,compensation,4,2,18,26,35,146.0,85.0
urban_transit,Maharashtra,Ahmedabad,compensation,4,1,12,34,21,144.0,77.0
rail,Gujarat,Pune,verification,5,2,45,39,96,321.0,141.0
rail,Maharashtra,Indore,award,5,0,12,14,8,169.0,63.0
rail,Maharashtra,Pune,award,2,1,32,30,61,198.0,102.0
highway,Madhya Pradesh,Ahmedabad,award,3,1,25,39,66,200.0,104.0
irrigation,Madhya Pradesh,Nashik,possession,2,1,21,37,52,114.0,93.0
irrigation,Karnataka,Nashik,award,1,0,20,14,108,143.0,88.0
highway,Madhya Pradesh,Pune,compensation,4,1,40,21,81,169.0,113.0
urban_transit,Madhya Pradesh,Nashik,objection,4,4,11,23,59,243.0,105.0
urban_transit,Karnataka,Ahmedabad,objection,1,2,19,14,47,233.0,93.0
highway,Gujarat,Ahmedabad,compensation,2,2,24,29,28,173.0,96.0
highway,Gujarat,Pune,verification,5,3,6,25,9,280.0,85.0
urban_transit,Gujarat,Pune,notification,2,1,19,47,73,311.0,107.0
rail,Karnataka,Nagpur,verification,4,2,41,40,106,318.0,143.0
rail,Gujarat,Nashik,notification,2,0,29,39,60,326.0,109.0
irrigation,Karnataka,Nashik,award,1,2,6,34,58,205.0,102.0
irrigation,Maharashtra,Nagpur,award,1,5,6,21,30,256.0,117.0
irrigation,Madhya Pradesh,Nagpur,award,2,4,43,8,4,269.0,117.0
urban_transit,Maharashtra,Indore,possession,3,3,10,43,14,140.0,94.0
urban_transit,Maharashtra,Pune,possession,1,1,35,32,58,130.0,104.0
rail,Karnataka,Nashik,possession,1,1,33,44,62,130.0,107.0
urban_transit,Gujarat,Ahmedabad,award,3,2,41,40,67,242.0,128.0
irrigation,Maharashtra,Nashik,possession,4,2,36,47,5,152.0,99.0
highway,Karnataka,Pune,compensation,4,2,19,14,16,147.0,77.0
rail,Gujarat,Nashik,compensation,1,0,11,8,41,119.0,68.0
rail,Maharashtra,Pune,verification,3,3,12,45,118,295.0,134.0
rail,Maharashtra,Pune,verification,1,1,19,9,92,259.0,102.0
highway,Maharashtra,Satara,possession,2,1,34,42,74,154.0,122.0
highway,Gujarat,Pune,notification,6,1,40,5,53,310.0,97.0
rail,Gujarat,Indore,award,5,1,34,20,74,203.0,108.0
urban_transit,Gujarat,Nagpur,notification,5,1,28,25,56,316.0,102.0
rail,Madhya Pradesh,Ahmedabad,objection,2,0,30,40,99,205.0,101.0
rail,Maharashtra,Nashik,objection,5,1,18,50,49,247.0,103.0
highway,Maharashtra,Indore,compensation,1,2,6,8,34,143.0,78.0
urban_transit,Maharashtra,Pune,verification,2,2,28,51,60,296.0,116.0
highway,Madhya Pradesh,Satara,objection,6,3,42,41,2,290.0,112.0
irrigation,Maharashtra,Indore,verification,2,1,6,23,95,239.0,94.0
urban_transit,Gujarat,Nashik,award,1,3,43,41,12,300.0,137.0
irrigation,Madhya Pradesh,Nashik,award,6,2,44,13,98,232.0,131.0
irrigation,Gujarat,Ahmedabad,award,2,2,25,45,79,229.0,125.0
rail,Maharashtra,Nashik,objection,3,0,4,21,65,180.0,71.0
irrigation,Madhya Pradesh,Nagpur,possession,1,2,33,16,2,145.0,90.0
highway,Maharashtra,Satara,verification,3,1,17,22,61,261.0,93.0
irrigation,Madhya Pradesh,Indore,possession,2,0,6,10,75,71.0,74.0
irrigation,Gujarat,Ahmedabad,notification,4,2,10,11,97,280.0,97.0
urban_transit,Maharashtra,Ahmedabad,possession,4,1,39,49,1,124.0,85.0
highway,Gujarat,Pune,objection,6,1,9,29,11,203.0,66.0
irrigation,Madhya Pradesh,Nashik,award,2,2,19,24,82,209.0,113.0
highway,Madhya Pradesh,Nagpur,compensation,2,2,16,16,42,157.0,90.0
irrigation,Gujarat,Pune,objection,5,1,36,23,109,253.0,126.0
irrigation,Karnataka,Pune,objection,2,1,30,14,65,225.0,96.0
highway,Gujarat,Satara,objection,2,0,34,15,25,199.0,70.0
rail,Karnataka,Nashik,award,4,2,6,11,72,174.0,89.0
rail,Karnataka,Pune,notification,2,2,9,37,91,323.0,117.0
irrigation,Madhya Pradesh,Ahmedabad,possession,1,1,39,9,77,129.0,108.0
irrigation,Maharashtra,Nagpur,award,3,1,28,48,6,210.0,90.0
irrigation,Madhya Pradesh,Nashik,compensation,4,1,37,26,74,166.0,109.0
highway,Maharashtra,Pune,possession,2,1,11,8,55,98.0,82.0
highway,Madhya Pradesh,Indore,objection,4,1,39,22,29,232.0,89.0
highway,Maharashtra,Indore,possession,4,4,6,8,45,153.0,106.0
urban_transit,Maharashtra,Ahmedabad,possession,6,0,28,13,51,86.0,77.0
urban_transit,Gujarat,Indore,objection,1,0,4,10,119,174.0,86.0
highway,Gujarat,Pune,possession,4,1,36,51,3,155.0,99.0
highway,Karnataka,Ahmedabad,verification,4,2,34,40,38,309.0,114.0
highway,Karnataka,Nashik,award,3,3,32,33,109,229.0,136.0
irrigation,Maharashtra,Ahmedabad,compensation,6,2,40,48,39,189.0,112.0
rail,Maharashtra,Nagpur,verification,4,0,6,11,1,199.0,40.0
urban_transit,Karnataka,Nashik,possession,4,0,39,16,85,110.0,102.0
urban_transit,Maharashtra,Ahmedabad,notification,2,1,41,16,47,323.0,103.0
irrigation,Gujarat,Ahmedabad,objection,1,1,17,8,104,217.0,103.0
rail,Maharashtra,Satara,compensation,1,1,19,29,50,155.0,93.0
rail,Gujarat,Satara,verification,4,1,12,8,2,252.0,66.0
irrigation,Madhya Pradesh,Satara,notification,1,2,2,29,116,288.0,108.0
urban_transit,Karnataka,Nagpur,verification,6,2,41,47,25,334.0,123.0
rail,Gujarat,Nagpur,award,1,1,12,38,78,179.0,97.0
highway,Madhya Pradesh,Ahmedabad,verification,1,6,28,4,7,355.0,123.0
urban_transit,Maharashtra,Ahmedabad,award,5,1,3,26,85,182.0,98.0
irrigation,Maharashtra,Satara,verification,4,1,22,5,10,244.0,66.0
highway,Gujarat,Indore,compensation,3,1,21,29,19,128.0,71.0
irrigation,Gujarat,Nagpur,objection,2,2,42,47,33,274.0,115.0
urban_transit,Madhya Pradesh,Satara,possession,6,0,8,5,80,65.0,73.0
irrigation,Madhya Pradesh,Ahmedabad,objection,2,2,6,23,48,224.0,88.0
highway,Gujarat,Satara,award,3,2,15,37,71,200.0,106.0
rail,Madhya Pradesh,Pune,possession,5,1,26,8,31,106.0,79.0
urban_transit,Maharashtra,Ahmedabad,compensation,1,1,13,26,34,123.0,72.0
highway,Karnataka,Pune,objection,1,4,6,46,80,276.0,129.0
highway,Maharashtra,Pune,notification,6,3,14,13,61,343.0,115.0
highway,Gujarat,Ahmedabad,verification,5,1,27,18,35,241.0,77.0
rail,Karnataka,Nashik,award,2,0,36,34,20,195.0,86.0
rail,Madhya Pradesh,Nashik,notification,6,1,15,47,13,323.0,91.0
rail,Karnataka,Nashik,verification,4,2,38,37,26,292.0,102.0
highway,Maharashtra,Pune,notification,5,1,32,13,89,314.0,111.0
highway,Gujarat,Nagpur,compensation,2,0,41,5,62,145.0,92.0
urban_transit,Maharashtra,Nashik,award,2,3,41,42,93,285.0,158.0
highway,Madhya Pradesh,Nashik,award,2,1,44,40,2,237.0,102.0
urban_transit,Gujarat,Satara,compensation,6,1,6,14,60,151.0,91.0
irrigation,Maharashtra,Pune,notification,2,3,29,21,105,358.0,140.0
highway,Karnataka,Nagpur,objection,6,1,5,29,112,191.0,95.0
irrigation,Madhya Pradesh,Nashik,notification,6,3,22,42,100,340.0,132.0
rail,Karnataka,Ahmedabad,notification,5,1,28,27,15,319.0,89.0
rail,Karnataka,Satara,award,2,1,21,25,69,206.0,106.0
irrigation,Maharashtra,Satara,objection,1,1,10,15,106,192.0,92.0
highway,Maharashtra,Nagpur,notification,5,3,44,44,20,374.0,123.0
rail,Madhya Pradesh,Satara,possession,4,3,18,24,8,141.0,91.0
urban_transit,Maharashtra,Ahmedabad,compensation,6,4,26,17,56,229.0,132.0
highway,Gujarat,Satara,objection,5,2,28,39,107,273.0,137.0
urban_transit,Karnataka,Nashik,possession,3,0,5,19,1,61.0,45.0
irrigation,Madhya Pradesh,Pune,possession,1,0,28,21,36,93.0,76.0
rail,Madhya Pradesh,Pune,notification,4,1,16,15,99,275.0,95.0
urban_transit,Maharashtra,Indore,compensation,2,1,8,43,89,144.0,101.0
rail,Maharashtra,Ahmedabad,objection,5,0,2,32,62,193.0,77.0
rail,Madhya Pradesh,Indore,compensation,6,3,2,6,117,187.0,127.0
urban_transit,Madhya Pradesh,Nashik,objection,5,2,31,35,109,276.0,139.0
urban_transit,Maharashtra,Nagpur,verification,6,2,22,43,77,283.0,114.0
urban_transit,Madhya Pradesh,Indore,verification,4,1,39,7,37,257.0,85.0
urban_transit,Madhya Pradesh,Pune,verification,2,1,8,36,10,257.0,74.0
urban_transit,Karnataka,Satara,possession,6,2,2,23,48,115.0,89.0
urban_transit,Maharashtra,Indore,objection,2,2,4,41,67,213.0,92.0
urban_transit,Madhya Pradesh,Nashik,notification,1,1,6,11,36,265.0,66.0
highway,Madhya Pradesh,Nashik,award,4,1,25,25,9,185.0,76.0
urban_transit,Maharashtra,Ahmedabad,objection,6,4,27,45,31,289.0,121.0
highway,Maharashtra,Pune,award,3,1,42,18,86,207.0,115.0
irrigation,Gujarat,Ahmedabad,compensation,6,2,16,5,27,136.0,74.0
urban_transit,Maharashtra,Nagpur,award,5,1,36,36,9,225.0,97.0
irrigation,Maharashtra,Nashik,verification,2,1,6,37,71,258.0,96.0
highway,Maharashtra,Nashik,verification,6,2,4,50,27,247.0,78.0
rail,Maharashtra,Nashik,verification,6,1,22,20,58,268.0,96.0
rail,Gujarat,Nagpur,possession,3,2,26,35,49,181.0,124.0
rail,Karnataka,Indore,verification,4,1,16,51,103,261.0,112.0
urban_transit,Maharashtra,Ahmedabad,possession,2,0,26,31,73,115.0,100.0
irrigation,Madhya Pradesh,Nashik,possession,2,1,45,45,103,168.0,141.0
irrigation,Madhya Pradesh,Pune,compensation,6,2,29,4,91,133.0,97.0
irrigation,Gujarat,Pune,award,5,3,5,22,84,177.0,98.0
highway,Gujarat,Pune,objection,3,2,15,51,48,289.0,123.0
urban_transit,Gujarat,Nashik,compensation,3,2,39,44,43,192.0,114.0
highway,Karnataka,Ahmedabad,compensation,3,0,34,5,32,123.0,70.0
irrigation,Karnataka,Nagpur,award,6,1,44,4,32,213.0,97.0
highway,Madhya Pradesh,Pune,objection,6,1,9,44,119,226.0,116.0
highway,Madhya Pradesh,Ahmedabad,objection,2,1,30,31,115,228.0,117.0
highway,Gujarat,Pune,notification,5,3,38,41,56,373.0,134.0
highway,Maharashtra,Indore,award,5,1,2,16,46,137.0,62.0
urban_transit,Maharashtra,Indore,verification,6,3,8,20,84,265.0,104.0
irrigation,Maharashtra,Nashik,verification,5,1,10,8,10,243.0,64.0
highway,Gujarat,Ahmedabad,objection,6,2,30,8,119,244.0,125.0
rail,Madhya Pradesh,Indore,notification,5,1,27,49,44,317.0,101.0
rail,Gujarat,Indore,possession,3,1,32,34,1,118.0,79.0
rail,Maharashtra,Nashik,verification,4,2,15,36,52,276.0,100.0
urban_transit,Gujarat,Ahmedabad,possession,1,0,10,14,104,64.0,82.0
irrigation,Karnataka,Nashik,verification,5,1,15,21,114,225.0,95.0
urban_transit,Karnataka,Nashik,verification,5,4,30,13,114,327.0,147.0
highway,Gujarat,Nagpur,compensation,5,0,39,32,38,157.0,92.0
irrigation,Maharashtra,Ahmedabad,compensation,6,1,37,47,117,191.0,138.0
rail,Gujarat,Satara,objection,1,2,23,29,51,241.0,101.0
highway,Gujarat,Indore,notification,1,1,37,6,5,299.0,76.0
highway,Karnataka,Satara,verification,5,0,42,46,92,276.0,117.0
irrigation,Madhya Pradesh,Pune,notification,2,0,10,4,104,273.0,92.0
urban_transit,Gujarat,Indore,possession,1,0,22,5,82,87.0,86.0
irrigation,Gujarat,Nagpur,notification,6,1,19,35,56,294.0,92.0
highway,Maharashtra,Ahmedabad,notification,6,0,22,14,16,285.0,70.0
irrigation,Madhya Pradesh,Indore,award,5,1,34,44,92,229.0,129.0
rail,Madhya Pradesh,Pune,notification,2,2,2,15,32,295.0,80.0
irrigation,Madhya Pradesh,Ahmedabad,award,2,2,42,40,37,259.0,125.0
highway,Madhya Pradesh,Nashik,award,3,1,34,11,66,225.0,114.0
highway,Gujarat,Ahmedabad,award,4,2,35,7,71,210.0,110.0
urban_transit,Gujarat,Indore,verification,1,1,35,31,40,292.0,104.0
urban_transit,Gujarat,Indore,notification,4,2,22,33,47,323.0,103.0
highway,Maharashtra,Ahmedabad,compensation,2,2,42,44,7,206.0,108.0
irrigation,Madhya Pradesh,Pune,award,5,2,11,30,105,207.0,119.0
highway,Gujarat,Ahmedabad,verification,6,0,37,43,45,256.0,90.0
irrigation,Madhya Pradesh,Nagpur,compensation,6,2,37,6,104,168.0,119.0
urban_transit,Karnataka,Indore,verification,6,2,22,16,53,271.0,96.0
urban_transit,Gujarat,Ahmedabad,compensation,4,1,23,20,25,153.0,83.0
urban_transit,Madhya Pradesh,Nagpur,objection,1,4,37,38,64,324.0,149.0
highway,Karnataka,Satara,objection,6,0,16,30,40,227.0,87.0
irrigation,Madhya Pradesh,Satara,compensation,6,2,7,5,96,125.0,92.0
highway,Madhya Pradesh,Nashik,award,3,0,26,6,16,169.0,67.0
urban_transit,Madhya Pradesh,Nagpur,possession,2,2,26,32,37,143.0,103.0
rail,Maharashtra,Indore,possession,3,1,20,43,16,142.0,94.0
urban_transit,Gujarat,Pune,verification,1,1,7,31,76,253.0,94.0
rail,Karnataka,Nagpur,award,1,3,11,50,88,215.0,121.0
irrigation,Madhya Pradesh,Nashik,notification,6,2,35,12,113,322.0,125.0
urban_transit,Maharashtra,Nagpur,notification,4,0,43,19,75,301.0,102.0
rail,Gujarat,Indore,award,6,2,7,27,112,175.0,106.0
urban_transit,Maharashtra,Satara,award,2,1,34,14,43,205.0,97.0
highway,Gujarat,Indore,possession,6,2,34,29,71,155.0,121.0
rail,Gujarat,Nashik,notification,6,3,32,36,93,365.0,142.0
urban_transit,Gujarat,Satara,award,5,1,11,4,87,169.0,91.0
highway,Karnataka,Ahmedabad,possession,1,1,18,6,116,84.0,97.0
rail,Maharashtra,Nagpur,notification,2,0,11,39,43,259.0,69.0
irrigation,Gujarat,Indore,award,5,2,23,23,112,212.0,125.0
irrigation,Madhya Pradesh,Indore,notification,1,2,37,38,21,337.0,104.0
irrigation,Maharashtra,Pune,award,4,4,15,42,47,252.0,124.0
urban_transit,Maharashtra,Ahmedabad,objection,2,1,7,19,82,210.0,92.0
rail,Karnataka,Ahmedabad,possession,5,1,20,45,115,110.0,114.0
urban_transit,Madhya Pradesh,Nashik,objection,2,0,37,42,27,263.0,103.0
rail,Maharashtra,Nashik,possession,2,1,3,47,32,113.0,84.0
irrigation,Karnataka,Pune,notification,3,1,22,5,53,276.0,79.0
urban_transit,Gujarat,Ahmedabad,possession,4,1,38,4,6,132.0,84.0
urban_transit,Maharashtra,Nagpur,verification,6,4,5,9,36,273.0,90.0
rail,Maharashtra,Nagpur,notification,1,0,36,19,40,298.0,87.0
rail,Gujarat,Nagpur,award,5,3,14,17,103,237.0,132.0
irrigation,Karnataka,Satara,notification,6,1,40,41,109,338.0,135.0
highway,Madhya Pradesh,Nagpur,possession,3,2,20,16,64,113.0,95.0
highway,Gujarat,Pune,verification,2,0,25,13,72,240.0,86.0
rail,Gujarat,Nagpur,award,1,2,41,11,30,230.0,106.0
urban_transit,Gujarat,Nashik,objection,5,3,26,13,79,260.0,119.0
highway,Gujarat,Ahmedabad,compensation,3,2,13,31,41,153.0,90.0
rail,Madhya Pradesh,Ahmedabad,possession,2,3,44,38,76,198.0,147.0
urban_transit,Maharashtra,Pune,objection,3,1,8,20,13,206.0,67.0
highway,Karnataka,Nashik,compensation,4,2,15,17,79,174.0,111.0
rail,Gujarat,Nashik,award,4,1,38,15,21,177.0,78.0
irrigation,Maharashtra,Nagpur,award,1,0,30,31,60,193.0,98.0
rail,Madhya Pradesh,Ahmedabad,objection,1,2,36,24,85,256.0,121.0
highway,Gujarat,Indore,award,3,0,38,27,6,186.0,76.0
urban_transit,Maharashtra,Indore,notification,4,3,41,43,20,358.0,116.0
highway,Gujarat,Nashik,possession,4,3,36,15,101,132.0,121.0
urban_transit,Madhya Pradesh,Nashik,compensation,4,2,2,38,30,164.0,90.0
urban_transit,Gujarat,Indore,award,4,2,41,8,1,215.0,88.0
urban_transit,Maharashtra,Indore,notification,4,0,29,29,115,296.0,113.0
urban_transit,Madhya Pradesh,Ahmedabad,compensation,3,2,28,50,31,204.0,114.0
rail,Maharashtra,Indore,compensation,2,1,12,29,40,140.0,81.0
rail,Madhya Pradesh,Pune,compensation,2,1,17,22,109,141.0,106.0
urban_transit,Madhya Pradesh,Pune,notification,4,1,6,50,11,307.0,82.0
urban_transit,Maharashtra,Nashik,notification,1,2,4,48,42,297.0,89.0
highway,Gujarat,Satara,compensation,5,0,30,23,58,139.0,88.0
highway,Gujarat,Nagpur,award,2,3,43,29,33,247.0,119.0
rail,Gujarat,Nashik,award,6,1,21,47,89,208.0,117.0
irrigation,Karnataka,Pune,verification,5,2,7,45,67,272.0,103.0
highway,Karnataka,Nashik,compensation,2,3,4,49,105,180.0,127.0
highway,Madhya Pradesh,Ahmedabad,award,2,2,12,47,89,209.0,117.0
highway,Gujarat,Satara,award,1,1,15,4,50,175.0,81.0
rail,Karnataka,Nashik,verification,3,2,13,26,2,265.0,76.0
highway,Karnataka,Pune,award,6,1,33,46,19,216.0,98.0
urban_transit,Gujarat,Nashik,objection,2,5,16,34,0,319.0,122.0
rail,Karnataka,Ahmedabad,award,4,2,24,45,77,221.0,120.0
irrigation,Madhya Pradesh,Indore,notification,2,0,42,21,67,309.0,103.0
highway,Gujarat,Indore,compensation,2,0,9,51,64,104.0,75.0
highway,Maharashtra,Satara,objection,2,2,36,22,114,257.0,132.0
urban_transit,Gujarat,Nagpur,objection,6,4,16,40,3,278.0,104.0
urban_transit,Karnataka,Ahmedabad,objection,3,1,26,49,21,243.0,93.0
rail,Gujarat,Nashik,possession,6,1,30,38,65,148.0,115.0
highway,Karnataka,Pune,objection,4,1,34,43,113,238.0,123.0
irrigation,Madhya Pradesh,Ahmedabad,notification,1,2,37,23,76,365.0,134.0
rail,Gujarat,Nagpur,verification,4,0,37,13,17,252.0,75.0
rail,Madhya Pradesh,Pune,objection,6,2,31,51,57,255.0,114.0
highway,Maharashtra,Pune,compensation,1,1,10,9,4,110.0,52.0
rail,Karnataka,Satara,award,1,0,25,5,67,151.0,77.0
irrigation,Karnataka,Pune,possession,6,2,20,40,49,175.0,121.0
rail,Gujarat,Satara,notification,1,0,12,17,119,243.0,86.0
highway,Gujarat,Satara,possession,1,0,40,5,41,102.0,81.0
rail,Maharashtra,Satara,possession,5,1,19,10,91,130.0,110.0
irrigation,Karnataka,Indore,award,1,3,28,10,19,232.0,102.0
rail,Gujarat,Pune,objection,3,0,8,19,78,183.0,77.0
irrigation,Maharashtra,Nashik,verification,3,0,4,46,92,220.0,85.0
highway,Maharashtra,Indore,possession,3,2,23,40,14,122.0,86.0
irrigation,Maharashtra,Satara,possession,3,1,36,5,84,126.0,108.0
irrigation,Maharashtra,Pune,award,5,1,16,18,46,171.0,80.0
rail,Maharashtra,Nagpur,compensation,5,1,30,51,103,185.0,130.0
highway,Madhya Pradesh,Satara,possession,5,3,36,44,32,194.0,128.0
rail,Karnataka,Indore,verification,3,2,40,30,15,334.0,116.0
highway,Maharashtra,Nagpur,notification,1,4,33,23,27,367.0,120.0
highway,Maharashtra,Nashik,objection,1,1,23,48,52,258.0,110.0
urban_transit,Madhya Pradesh,Satara,objection,5,0,39,22,48,219.0,89.0
rail,Madhya Pradesh,Pune,objection,1,1,16,15,15,212.0,70.0
irrigation,Maharashtra,Indore,award,2,3,20,49,35,237.0,114.0
urban_transit,Karnataka,Indore,award,3,1,26,5,75,186.0,97.0
urban_transit,Karnataka,Ahmedabad,award,3,1,33,48,79,218.0,120.0
urban_transit,Maharashtra,Pune,verification,3,1,44,43,12,304.0,103.0
rail,Gujarat,Satara,notification,6,0,25,21,74,284.0,91.0
urban_transit,Gujarat,Nashik,verification,1,2,14,7,62,249.0,87.0
irrigation,Madhya Pradesh,Indore,verification,5,2,22,4,90,278.0,111.0
rail,Madhya Pradesh,Pune,objection,5,5,25,36,115,337.0,172.0
rail,Madhya Pradesh,Ahmedabad,compensation,1,4,2,37,118,195.0,137.0
irrigation,Maharashtra,Ahmedabad,notification,3,1,30,14,64,292.0,93.0
